Play_Position	Identifier_in_play	Text	Polarity_differentiated	Polarity_threefold	Polarity_binary
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 1.Replik, Drama-Nummer: 1, ID:1	1_1_1_1_1	LISETTE:Nun, das ist wahr, unser Haus hat sich in kurzem recht sehr geändert. Noch vor acht Tagen war es ein belebter Sammelplatz von unzähligen jungen Herren und verliebten Narren. Alle Tage haben sich ihrer ein Paar verloren. Heute blieben die weg; morgen folgten ein Paar andre nach, und übermorgen desgleichen. Gott sei Dank! zwei sind noch übrig geblieben. Wenn die sich auch abfinden sollten: so wird unser Haus zur Einöde. Madame – – – Madame!	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 2.Replik, Drama-Nummer: 2, ID:2	1_1_2_2_2	DIE WITWE:Nun, was ist es?	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 3.Replik, Drama-Nummer: 3, ID:3	1_1_3_3_3	LISETTE:Alsdann bleibe ich gewiß auch nicht länger bei Ihnen; so gut ich es auch hier habe. Gesellschaft ist das halbe Leben!	mixed	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 4.Replik, Drama-Nummer: 4, ID:4	1_1_4_4_4	DIE WITWE:Du hättest dich also besser in einen Gasthof, als in meine Dienste, geschickt?	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 5.Replik, Drama-Nummer: 5, ID:5	1_1_5_5_5	LISETTE:Ja. In einem Gasthofe geht es doch noch munter zu. Wenn es nicht so viel Arbeit da gäbe, wer weiß, was ich getan hätte. Wenn man einmal, leider! dienen muß, so, dächte ich, ist es wohl am vernünftigsten, man dient da, wo man bei seinem Dienen das größte Vergnügen haben kann. Doch, Scherz bei Seite. Was stellt denn itzo Herr Damon und Herr Leander bei Ihnen vor?	mixed	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 6.Replik, Drama-Nummer: 6, ID:6	1_1_6_6_6	DIE WITWE:Was sie vorstellen?	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 7.Replik, Drama-Nummer: 7, ID:7	1_1_7_7_7	LISETTE:Die Frage scheint Ihnen wundersam? Das weiß ich wohl, was sie sonst vorgestellt haben. Ihre Freier.	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 8.Replik, Drama-Nummer: 8, ID:8	1_1_8_8_8	DIE WITWE:Und das sind sie auch noch.	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 9.Replik, Drama-Nummer: 9, ID:9	1_1_9_9_9	LISETTE:Das sind sie noch? So? Damon ist also des Leanders Nebenbuhler, und Leander des Damons. Und gleichwo sind Leander und Damon die besten Freunde? Das wäre eine neue Mode. Wider die streite ich mit Händen und Füßen. Was? Nebenbuhler, die sich nicht unter einander zanken, verleumden, schimpfen, betrügen, herausfordern, schlagen, das wären mir artige Kreaturen. Nein. Es muß bei dem alten bleiben. Unter Nebenbuhlern muß Feindschaft sein, oder sie sind keine Nebenbuhler.	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 10.Replik, Drama-Nummer: 10, ID:10	1_1_10_10_10	DIE WITWE:Es ist wahr, ich habe mich über ihr Bezeigen einigermaßen selbst gewundert. Ehe beide noch wußten, daß sie einerlei Zweck hätten, bezeigte sich niemand gegen mich verliebter, als eben sie. Niemand war zärtlicher, niemand bestrebte sich um meine Gegengunst mehr, als sie. So bald sie gewahr wurden, daß einer des andern Nebenbuhler wäre, so bald wurden beide, in ihrem Bestreben, mir zu gefallen, nachlässiger. Einer redete bei mir dem andern das Wort, Damon dem Leander, und Leander dem Damon. Beide schwiegen von ihren eigenen Angelegenheiten.	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 11.Replik, Drama-Nummer: 11, ID:11	1_1_11_11_11	LISETTE:Und bei der Aufführung halten Sie beide noch für Ihre Freier?	negative	negative	negative
